s1_name,patch_id,reference_map_id
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_56_89,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_56_89,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_56_89_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_57_80,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_57_80,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_57_80_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_57_81,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_57_81,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_57_81_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_57_82,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_57_82,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_57_82_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_57_87,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_57_87,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_57_87_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_57_89,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_57_89,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_57_89_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_58_82,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_58_82,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_58_82_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_58_84,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_58_84,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_58_84_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_58_90,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_58_90,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_58_90_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_59_90,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_59_90,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_59_90_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_60_86,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_60_86,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_60_86_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_60_87,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_60_87,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_60_87_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_60_89,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_60_89,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_60_89_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_61_78,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_61_78,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_61_78_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_61_84,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_61_84,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_61_84_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_61_87,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_61_87,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_61_87_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_61_88,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_61_88,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_61_88_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_62_80,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_62_80,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_62_80_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_62_81,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_62_81,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_62_81_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_62_90,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_62_90,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_62_90_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_63_89,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_63_89,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_63_89_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_64_82,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_64_82,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_64_82_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_64_85,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_64_85,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_64_85_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_65_80,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_65_80,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_65_80_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_65_82,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_65_82,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_65_82_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_65_89,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_65_89,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_65_89_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_66_83,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_66_83,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_66_83_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_66_84,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_66_84,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_66_84_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_67_84,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_67_84,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_67_84_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_67_87,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_67_87,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_67_87_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_67_88,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_67_88,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_67_88_reference_map
S1A_IW_GRDH_1SDV_20170613T165043_33UUP_68_78,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_68_78,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_68_78_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_68_83,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_68_83,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_68_83_reference_map
S1A_IW_GRDH_1SDV_20170613T165043_33UUP_69_80,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_69_80,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_69_80_reference_map
S1A_IW_GRDH_1SDV_20170613T165043_33UUP_69_81,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_69_81,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_69_81_reference_map
S1A_IW_GRDH_1SDV_20170613T165043_33UUP_69_82,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_69_82,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_69_82_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_69_85,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_69_85,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_69_85_reference_map
S1A_IW_GRDH_1SDV_20170613T165043_33UUP_70_84,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_70_84,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_70_84_reference_map
S1A_IW_GRDH_1SDV_20170613T165043_33UUP_70_85,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_70_85,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_70_85_reference_map
S1A_IW_GRDH_1SDV_20170613T165043_33UUP_71_85,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_71_85,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_71_85_reference_map
S1A_IW_GRDH_1SDV_20170613T165043_33UUP_71_86,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_71_86,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_71_86_reference_map
S1A_IW_GRDH_1SDV_20170613T165043_33UUP_72_83,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_72_83,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_72_83_reference_map
S1A_IW_GRDH_1SDV_20170613T165043_33UUP_72_86,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_72_86,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_72_86_reference_map
S1A_IW_GRDH_1SDV_20170613T165043_33UUP_73_85,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_73_85,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_73_85_reference_map
S1A_IW_GRDH_1SDV_20170613T165043_33UUP_74_78,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_74_78,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_74_78_reference_map
S1A_IW_GRDH_1SDV_20170613T165043_33UUP_74_79,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_74_79,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_74_79_reference_map
S1A_IW_GRDH_1SDV_20170613T165043_33UUP_74_80,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_74_80,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_74_80_reference_map
S1A_IW_GRDH_1SDV_20170613T165043_33UUP_74_82,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_74_82,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_74_82_reference_map
S1A_IW_GRDH_1SDV_20170613T165043_33UUP_74_83,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_74_83,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_74_83_reference_map
